stationcode,longitude,latitude,PM10,PM25,F-,Cl-,NO3-,SO42-,Ca2+,Na+,K+,NH4+,Mg2+,OC,EC,Hg,Br,As,Si,Te,Ca,Ti,Ba,Sc,Pd,Co,Mo,K,Fe,Pb,TI,Cu,Al,Cs,Ag,Zn,Sb,Sn,Mn,Cd,Ni,Ga,Se,Cr,V
110000006,116.041,39.597,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.0,-999.000,-999.000,-999.000
371500001,115.974,36.493,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,14.88246,5.63833,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.0,-999.000,-999.000,-999.000
150100001,111.752,40.841,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.0,-999.000,-999.000,-999.000
1320100001,118.754,32.055,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.0,-999.000,-999.000,-999.000
410200001,114.331,34.761,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.0,-999.000,-999.000,-999.000
140100002,112.482,37.719,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.08178,0.04890,-999.0,-999.000,2.65442,-999.0,-999.0,0.00766,-999.000,-999.0,-999.0,1.59774,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.0,-999.000,-999.000,-999.000
340100001,117.117,31.470,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.0,-999.000,-999.000,-999.000
410300001,112.419,34.613,-999.0,-999.0,0.11500,5.30700,19.78300,8.33300,1.39500,1.45700,2.10000,6.05500,0.35900,9.19500,1.97300,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.0,-999.000,-999.000,-999.000
610100002,108.935,34.347,-999.0,-999.0,0.97400,3.03200,12.96500,4.07300,0.49000,0.67600,0.08600,5.88900,0.06000,10.04300,1.99300,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.0,-999.000,-999.000,-999.000
1320300001,117.256,34.215,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.0,-999.000,-999.000,-999.000
130600003,115.482,38.926,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.0,-999.000,-999.000,-999.000
