stationcode,longitude,latitude,PM10,PM25,F-,Cl-,NO3-,SO42-,Ca2+,Na+,K+,NH4+,Mg2+,OC,EC,Hg,Br,As,Si,Te,V,Ca,Ti,Ba,Sc,Pd,Co,Mo,K,Fe,Pb,TI,Cu,Al,Cr,Cs,Ag,Zn,Sb,Sn,Mn,Cd,Ni,Ga,Se
110000006,116.041,39.597,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.000,-999.0,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.0,-999.000
371500001,115.974,36.493,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,12.87683,4.20500,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.000,-999.0,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.0,-999.000
150100001,111.752,40.841,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.000,-999.0,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.0,-999.000
1320100001,118.754,32.055,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.000,-999.0,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.0,-999.000
410200001,114.331,34.761,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,6.85600,2.55300,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.000,-999.0,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.0,-999.000
140100002,112.482,37.719,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.000,-999.0,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.0,-999.000
340100001,117.117,31.470,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.000,-999.0,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.0,-999.000
410300001,112.419,34.613,-999.0,-999.0,0.37700,1.30500,22.15400,8.42000,1.01400,0.83900,0.25200,7.22600,0.13800,5.19900,1.17500,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.000,-999.0,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.0,-999.000
610100002,108.935,34.347,-999.0,-999.0,0.04800,2.80500,65.17500,20.32500,0.53800,0.47500,0.30900,30.29900,0.06600,16.47500,3.87400,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.000,-999.0,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.0,-999.000
1320300001,117.256,34.215,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.0,-999.0,-999.000,-999.0,-999.0,-999.000,-999.0,-999.0,-999.000,-999.0,-999.000,-999.000,-999.0,-999.000,-999.0,-999.0,-999.000
