stationcode,longitude,latitude,PM10,PM25,F-,Cl-,NO3-,SO42-,Ca2+,Na+,K+,NH4+,Mg2+,OC,EC,Hg,Br,As,Si,Te,V,Ca,Ti,Sc,Pd,Co,Mo,K,Fe,TI,Al,Cs,Ag,Zn,Sb,Sn,Ni,Ga,Pb,Se,Cr,Cd,Cu,Mn,Ba
110000006,116.041,39.597,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.000,-999.0,-999.0,-999.0,-999.000,-999.000,-999.000,-999.0,-999.0,-999.0,-999.000,-999.000,-999.000,-999.0,-999.000,-999.000,-999.0,-999.0,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000
371500001,115.974,36.493,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,7.45896,1.33630,-999.0,-999.0,-999.0,-999.0,-999.000,-999.000,-999.0,-999.0,-999.0,-999.000,-999.000,-999.000,-999.0,-999.0,-999.0,-999.000,-999.000,-999.000,-999.0,-999.000,-999.000,-999.0,-999.0,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000
150100001,111.752,40.841,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.000,-999.0,-999.0,-999.0,-999.000,-999.000,-999.000,-999.0,-999.0,-999.0,-999.000,-999.000,-999.000,-999.0,-999.000,-999.000,-999.0,-999.0,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000
1320100001,118.754,32.055,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.000,-999.0,-999.0,-999.0,-999.000,-999.000,-999.000,-999.0,-999.0,-999.0,-999.000,-999.000,-999.000,-999.0,-999.000,-999.000,-999.0,-999.0,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000
410200001,114.331,34.761,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.19900,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.000,-999.0,-999.0,-999.0,-999.000,-999.000,-999.000,-999.0,-999.0,-999.0,-999.000,-999.000,-999.000,-999.0,-999.000,-999.000,-999.0,-999.0,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000
140100002,112.482,37.719,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.00744,-999.0,0.60287,-999.000,-999.000,-999.0,-999.0,-999.0,-999.000,-999.000,-999.000,-999.0,-999.0,-999.0,-999.000,-999.000,-999.000,-999.0,-999.000,-999.000,-999.0,-999.0,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000
340100001,117.117,31.470,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.000,-999.0,-999.0,-999.0,-999.000,-999.000,-999.000,-999.0,-999.0,-999.0,-999.000,-999.000,-999.000,-999.0,-999.000,-999.000,-999.0,-999.0,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000
410300001,112.419,34.613,-999.0,-999.0,0.06888,1.17008,7.16712,6.65054,0.64612,1.09275,0.36767,2.13250,0.15196,4.42422,0.93652,-999.0,-999.0,-999.0,-999.0,-999.000,-999.000,-999.0,-999.0,-999.0,-999.000,-999.000,-999.000,-999.0,-999.0,-999.0,-999.000,-999.000,-999.000,-999.0,-999.000,-999.000,-999.0,-999.0,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000
610100002,108.935,34.347,-999.0,-999.0,0.05537,0.27879,7.04433,2.29508,0.72404,0.29837,0.12921,1.70563,0.06492,3.26362,0.59455,-999.0,-999.0,-999.0,-999.0,-999.000,-999.000,-999.0,-999.0,-999.0,-999.000,-999.000,-999.000,-999.0,-999.0,-999.0,-999.000,-999.000,-999.000,-999.0,-999.000,-999.000,-999.0,-999.0,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000
1320300001,117.256,34.215,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.000,-999.000,-999.0,-999.0,-999.0,-999.000,-999.000,-999.000,-999.0,-999.0,-999.0,-999.000,-999.000,-999.000,-999.0,-999.000,-999.000,-999.0,-999.0,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000,-999.000
