站号 经度 纬度 省份 城市 站点 系统编号
110000246 116.4 39.98 北京 北京市 奥体中心 1011A
110000249 116.225 39.9279 北京 北京市 古城 1012A
110000252 116.366 39.8673 北京 北京市 万寿西宫 1001A
110000253 116.72 40.1438 北京 北京市 顺义新城 1008A
120000123 117.7918 39.2474 天津 天津市 河西一经路(启用150702) 2858A
120000186 117.1837 39.2133 天津 天津市 淮河道 1019A
120000306 117.1589 39.0845 天津 天津市 宾水西道(启用150702) 2860A
120000309 117.2099 39.16969 天津 天津市 中山北路(启用161122) 3020A
130100052 114.4548 38.0513 河北 石家庄市 职工医院 1029A
130100057 114.53305559999998 38.01777778 河北 石家庄市 世纪公园 1033A
130200052 118.1997 39.6295 河北 唐山市 小山 1041A
130200088 118.14399999999999 39.643 河北 唐山市 雷达站 1037A
130300053 119.6023 39.9567 河北 秦皇岛市 监测站 1044A
130300055 119.60700000000001 39.9358 河北 秦皇岛市 市政府 1045A
130400053 114.5035 36.5776 河北 邯郸市 矿院 1049A
130500405 114.4854 37.062 河北 邢台市 市环保局 1080A
130500406 114.5331 37.0964 河北 邢台市 路桥公司 1079A
130600061 115.4612 38.8416 河北 保定市 地表水厂 1054A
130600062 115.4713 38.9108 河北 保定市 接待中心 1053A
130600063 115.5223 38.8957 河北 保定市 华电二区 1052A
130900403 116.8584 38.3254 河北 沧州市 电视转播站 1072A
131000402 116.6838 39.5178 河北 廊坊市 药材公司 1067A
131000403 116.7729 39.5747 河北 廊坊市 开发区 1068A
131000409 116.7022 39.5453 河北 廊坊市 河北工业大学(启用160601) 2919A
131100401 115.6951 37.7575 河北 衡水市 电机北厂 1074A
131100408 115.6906 37.739000000000004 河北 衡水市 市环保局 1076A
130700401 114.8985 40.8367 河北 张家口市 人民公园 1057A
130700407 114.9032 40.7688 河北 张家口市 世纪豪园 1060A
140100057 112.5369 37.8692 山西 太原市 桃园 1086A
140100063 112.469 37.7124 山西 太原市 晋源 1084A
140300053 113.5922 37.8561 山西 阳泉市 南庄 1740A
140400052 113.0972 36.1939 山西 长治市 监测站 1728A
140500053 112.8564 35.4883 山西 晋城市 市环保局 2162A
140800095 110.9678 35.0308 山西 运城市 地区技校 2178A
141000072 111.5169 36.0822 山西 临汾市 工商学校 1735A
150100054 111.751 40.8369 内蒙古 呼和浩特市 如意水处理厂 1094A
320100054 118.749 32.0572 江苏 南京市 草场门 1152A
320200104 120.354 31.5475 江苏 无锡市 旺庄 1193A
320300058 117.256 34.2153 江苏 徐州市 新城区 1180A
320500055 120.62799999999999 31.2864 江苏 苏州市 南门 1161A
320600005 120.913 31.96 江苏 南通市 南郊(对照点) 1168A
340100054 117.196 31.7848 安徽 合肥市 明珠广场 1270A
340100204 117.27799999999999 31.7386 安徽 合肥市 滨湖新区 1278A
350100058 119.29899999999999 26.1092 福建 福州市 五四北路 1283A
370100052 117.04899999999999 36.6622 山东 济南市 市监测站 1305A
370100056 117.11399999999999 36.6739 山东 济南市 开发区 1301A
370181002 117.541 36.71 山东 章丘市 明水开发区 1962A
370300052 118.0448 36.838 山东 淄博市 东风化工厂 1632A
370800051 116.6305 35.428000000000004 山东 济宁市 火炬城 1653A
371400054 116.3189 37.4489 山东 德州市 监理站 1624A
371500053 115.9835 36.4796 山东 聊城市 党校 1627A
371600051 118.0062 37.3803 山东 滨州市 市环保局 1628A
371700052 115.474722 35.2375 山东 菏泽市 市政协 1719A
410100052 113.5991 34.7496 河南 郑州市 市监测站 1322A
410100065 113.734 34.719 河南 郑州市 四十七中 1321A
410200062 114.3389 34.7781 河南 开封市 肿瘤医院 1824A
410300057 112.4275 34.6258 河南 洛阳市 市委新办公区 1817A
410500058 114.3931 36.0883 河南 安阳市 环保局 1821A
410600403 114.2878 35.7306 河南 鹤壁市 迎宾馆 2387A
410700403 113.883 35.303000000000004 河南 新乡市 环保东院 2391A
410800052 113.26100000000001 35.235 河南 焦作市 市监测站 1827A
410900401 115.031 35.763000000000005 河南 濮阳市 环保局 2392A
411200403 111.1928 34.7772 河南 三门峡市 市政府 1835A
430100070 113.0792 28.2053 湖南 长沙市 马坡岭 1337A
610100053 108.935 34.3474 陕西 西安市 经开区 1468A
640100059 106.2328 38.4975 宁夏 银川市 贺兰山东路 1488A
