stationcode,longitude,latitude,name,cityname
110000006,116.04110,39.59716,琉璃河,北京
371500001,115.97389,36.49306,周公河站,聊城
150100001,111.75199,40.84149,市站,呼和浩特
1320100001,118.75394,32.05505,江苏省南京市草场门站,南京
410200001,114.33111,34.76111,金明西街站,开封
140100002,112.48248,37.71918,景明南路站,太原
340100001,117.11720,31.47000,环保局,合肥
410300001,112.41900,34.61314,王城大道站,洛阳
610100002,108.93500,34.34740,凤城十路站,西安
1320300001,117.25639,34.21528,江苏省徐州市大气超级站,徐州
130600003,115.48194,38.92589,阳光北大街站,保定
130500001,114.48188,37.06615,气象局,邢台
110000005,116.32594,39.52128,固安,北京
1640100001,106.22472,38.48861,宁夏银川市中心站,银川
130700002,114.90410,40.76902,市站,张家口
141000001,111.52551,36.06255,北大街站,临汾
1411200001,111.27845,34.71607,河南省三门峡市环保局站,三门峡
130300002,119.58434,39.95457,燕山大街站,秦皇岛
140500001,112.85694,35.48806,长安路站,晋城
140300001,113.58916,37.84750,南庄路站,阳泉
120000005,117.04245,39.38386,武清雍阳西道,天津
320100001,118.76177,32.06643,草场门,南京
370100001,117.17147,36.66923,省环境保护厅,济南
110000016,116.73171,40.20304,顺义北小营,北京
120000004,117.28333,39.68333,宝坻潮白河站,天津
370300001,117.98333,36.83472,北京路站,淄博
130600004,115.94616,38.94532,雄安育才路站,保定
140400001,113.11027,36.19888,长兴中路站,长治
430100001,113.09021,28.20350,湖南省长沙市马坡岭站,长沙
131000005,116.70222,39.54528,新华路站,廊坊
110000004,116.42372,40.04858,移动监测车1,北京
130900003,116.83873,38.30429,九河西路站,沧州
371400003,115.82306,36.95222,白马湖站,德州
130300001,119.62220,39.91223,环境监测站,秦皇岛
131000003,116.70855,39.55063,超级站,廊坊
1320200001,120.31695,31.51278,*江苏省无锡市东绛站,无锡
110000010,116.26583,39.49889,大兴榆垡,北京
130200001,118.13041,39.63387,市站,唐山
110000002,116.34158,39.72681,亦庄,北京
131100003,115.67806,37.73222,自强街站,衡水
110000008,116.68361,39.54167,京东边界点,北京
410500002,114.39833,36.08861,文明大道站,安阳
130400002,114.49722,36.57139,光明南大街站,邯郸
370800001,116.62278,35.42889,金宇路站,济宁
110000009,116.77111,39.62833,通州永乐店,北京
110000011,115.83139,39.54167,房山大石窝,北京
120000001,117.15902,39.09912,环境监测中心,天津
131000004,117.00645,39.76142,香河站,廊坊
410900001,115.03222,35.76333,金堤路站,濮阳
410700002,113.92388,35.30333,平原路站,新乡
130100005,114.47999,38.09421,西北水源,石家庄
120000006,117.41250,40.05528,蓟州北环路站,天津
410100002,113.60552,34.74767,市环境保护监测中心,郑州
130700003,114.89480,40.83361,人民公园站,张家口
130500002,114.53250,37.08638,泉北大街站,邢台
410800001,113.27916,35.20638,丰收中路站,焦作
130200002,118.19309,39.62316,小山站,唐山
410500001,114.39870,36.08948,环保局,安阳
140800001,110.96777,35.03083,工农西街站,运城
371700001,115.52194,35.21333,郑州路站,菏泽
410100003,113.73278,34.77167,平安大道站,郑州
371400002,116.36238,37.44376,德州市超级站,德州
1320500001,120.63050,31.28619,江苏省苏州市南门站,苏州
110000003,116.32204,39.10487,榆垡,北京
350100002,119.29000,26.11000,省站,福州
131100002,115.68359,37.73268,环境监测中心,衡水
130600002,115.48120,38.83579,市站,保定
1320600001,120.94770,31.99070,江苏省南通市大气多参数站,南通
410600001,114.29138,35.72222,兴鹤大街站,鹤壁
370100002,117.06184,36.65764,山大路站,济南
130100004,114.53558,38.02495,市环境监测中心,石家庄
1340100001,117.19610,31.78470,安徽省合肥市超级站,合肥
371600001,118.00611,37.38000,黄河五路站,滨州
110000001,116.41524,40.04137,中国环境科学研究院,北京
110000012,116.42558,40.04812,中国环境监测总站,北京
1306000001,116.03420,39.49213,易县,保定
1307000001,114.89850,40.83670,长城岭,张家口
1311000001,115.69410,37.80750,衡水湖(农村),衡水
3701000001,117.61000,36.72000,杏林,济南
1200000004,117.84972,39.49445,宁河,天津
120000003,117.22273,39.17325,中山北路站,天津
140100001,112.54655,37.87401,桃园,太原
